"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_VALID_LEARNER","NO_VALID_FULL_LIC","NO_EXP_LEARNER","NO_EXP_NOVER_3YR","NO_EXP_OVER_3YR"
"201507","6","21",0,12643,0,72,413
"201507","28","18",5202,192302,113808,4042,46571
"201507","9","5",3641,184569,53937,4688,52184
"201507","33","20",1347,44551,52746,401,2859
"201508","2","3",5629,270991,75794,8245,68354
"201508","28","18",5261,192367,114032,4062,46671
"201508","1","1",58559,2121063,378888,57439,689104
"201508","33","20",1321,44577,52831,406,2865
"201508","3","6",0,218995,0,5034,58788
"201508","10","4",3496,189753,53815,4913,56114
"201508","34","22",5604,270986,65888,8244,42283
"201508","6","21",0,12724,0,72,415
"201508","27","2",48735,1415065,506426,35908,593379
"201508","31","15",0,0,0,0,4
"201508","30","10",5998,137408,167428,2138,18525
"201508","7","16",598,31763,4489,43,3826
"201508","4","9",5996,137351,167308,1942,14251
"201508","9","5",3717,184564,54131,4736,52287
"201508","32","17",151,23408,1155,259,2171
"201508","29","19",7463,102836,203280,3667,42757
"201509","34","22",5609,271855,66016,8358,42441
"201509","32","17",166,23472,1159,268,2172
"201509","31","15",0,0,0,0,4
"201509","6","21",0,12760,0,73,416
"201509","9","5",3848,184506,54271,4751,52394
"201509","29","19",7403,102878,203620,3674,42836
"201509","30","10",5955,137582,167689,2156,18567
"201509","1","1",58237,2127448,379992,57674,690132
"201509","3","6",0,219135,0,5075,58889
"201509","7","16",610,31775,4501,39,3828
"201509","10","4",3465,189859,53953,4931,56223
"201509","4","9",5955,137527,167570,1963,14288
"201509","33","20",1308,44622,52875,412,2869
"201509","27","2",48498,1417378,507929,35911,594029
"201509","28","18",5233,192503,114239,4078,46755
"201509","2","3",5636,271860,75918,8359,68512
"201510","29","19",7374,102878,203925,3684,42939
"201510","3","6",0,219238,0,5111,59015
"201510","32","17",157,23537,1159,278,2179
"201510","1","1",57970,2133247,381018,57835,691176
"201510","2","3",5717,272696,75991,8471,68649
"201510","10","4",3486,189889,54073,4943,56356
"201510","28","18",5186,192618,114446,4081,46866
"201510","6","21",0,12804,0,74,419
"201510","34","22",5688,272691,66092,8471,42578
"201510","7","16",676,31779,4498,36,3829
"201510","33","20",1290,44646,52932,423,2877
"201510","31","15",0,0,0,0,4
"201510","30","10",5967,137691,167920,2173,18622
"201510","27","2",48311,1419394,509245,35885,594741
"201510","9","5",3996,184413,54397,4761,52519
"201510","4","9",5967,137640,167803,1985,14334
"201511","29","19",7390,102897,204197,3707,43012
"201511","28","18",5176,192763,114613,4098,46948
"201511","9","5",4149,184353,54506,4774,52620
"201511","34","22",5743,273604,66218,8620,42666
"201511","30","10",6006,137834,168110,2207,18657
"201511","4","9",6004,137789,167993,2018,14365
"201511","7","16",659,31829,4494,36,3829
"201511","31","15",0,0,0,0,4
